indicator_code,year,value
NY.GDP.MKTP.CD,2001,97145618479.9038
FP.CPI.TOTL.ZG,2001,3.14826144590618
NE.EXP.GNFS.ZS,2001,10.6261723730627
NE.IMP.GNFS.ZS,2001,12.9510350567841
NY.GDP.MKTP.CD,2002,97923302809.3537
FP.CPI.TOTL.ZG,2002,3.29034472613153
NE.EXP.GNFS.ZS,2002,11.2629668954049
NE.IMP.GNFS.ZS,2002,11.8660490591242
NY.GDP.MKTP.CD,2003,112371913740.823
FP.CPI.TOTL.ZG,2003,2.91413470059479
NE.EXP.GNFS.ZS,2003,12.1646439105383
NE.IMP.GNFS.ZS,2003,12.4855146143016
NY.GDP.MKTP.CD,2004,132216048339.413
FP.CPI.TOTL.ZG,2004,7.44462469342739
NE.EXP.GNFS.ZS,2004,11.422970350187
NE.IMP.GNFS.ZS,2004,13.3853645017194
NY.GDP.MKTP.CD,2005,145208562960.767
FP.CPI.TOTL.ZG,2005,9.06332737030417
NE.EXP.GNFS.ZS,2005,12.2518417522088
NE.IMP.GNFS.ZS,2005,17.6266523028659
NY.GDP.MKTP.CD,2006,161871385506.36
FP.CPI.TOTL.ZG,2006,7.92108440058789
NE.EXP.GNFS.ZS,2006,12.5489466265472
NE.IMP.GNFS.ZS,2006,20.5007727406812
NY.GDP.MKTP.CD,2007,184140869997.46
FP.CPI.TOTL.ZG,2007,7.59868441050774
NE.EXP.GNFS.ZS,2007,11.6250765592664
NE.IMP.GNFS.ZS,2007,19.1628048720082
NY.GDP.MKTP.CD,2008,202203748583.854
FP.CPI.TOTL.ZG,2008,20.2861210929554
NE.EXP.GNFS.ZS,2008,11.87581528062
NE.IMP.GNFS.ZS,2008,22.4731455329041
NY.GDP.MKTP.CD,2009,187337783856.466
FP.CPI.TOTL.ZG,2009,13.6477650639761
NE.EXP.GNFS.ZS,2009,12.3909882054304
NE.IMP.GNFS.ZS,2009,20.9358990809684
NY.GDP.MKTP.CD,2010,196709621849.586
FP.CPI.TOTL.ZG,2010,12.9388705634889
NE.EXP.GNFS.ZS,2010,12.6372245592948
NE.IMP.GNFS.ZS,2010,19.3517774869368
NY.GDP.MKTP.CD,2011,230586581059.665
FP.CPI.TOTL.ZG,2011,11.9160927116277
NE.EXP.GNFS.ZS,2011,13.4825548617217
NE.IMP.GNFS.ZS,2011,18.8800834134221
NY.GDP.MKTP.CD,2012,250106966104.704
FP.CPI.TOTL.ZG,2012,9.68235186055684
NE.EXP.GNFS.ZS,2012,11.8739641473238
NE.IMP.GNFS.ZS,2012,19.4450091286838
NY.GDP.MKTP.CD,2013,258657231672.412
FP.CPI.TOTL.ZG,2013,7.69215611899565
NE.EXP.GNFS.ZS,2013,12.1774992040696
NE.IMP.GNFS.ZS,2013,18.7127751361147
NY.GDP.MKTP.CD,2014,271390474857.632
FP.CPI.TOTL.ZG,2014,7.18938402847028
NE.EXP.GNFS.ZS,2014,11.1949717426146
NE.IMP.GNFS.ZS,2014,18.2748539477852
NY.GDP.MKTP.CD,2015,299963590534.773
FP.CPI.TOTL.ZG,2015,2.52932817254229
NE.EXP.GNFS.ZS,2015,9.97457095124036
NE.IMP.GNFS.ZS,2015,16.7136150659843
NY.GDP.MKTP.CD,2016,313630000130.435
FP.CPI.TOTL.ZG,2016,3.7651191635658
NE.EXP.GNFS.ZS,2016,8.73671639116568
NE.IMP.GNFS.ZS,2016,15.9648616568916
NY.GDP.MKTP.CD,2017,339205534861.1
FP.CPI.TOTL.ZG,2017,4.08537368032608
NE.EXP.GNFS.ZS,2017,8.22161134395559
NE.IMP.GNFS.ZS,2017,17.2504236583884
NY.GDP.MKTP.CD,2018,356128166704.921
FP.CPI.TOTL.ZG,2018,5.07805725868917
NE.EXP.GNFS.ZS,2018,8.58179960556073
NE.IMP.GNFS.ZS,2018,19.044257474073
NY.GDP.MKTP.CD,2019,320909472770.669
FP.CPI.TOTL.ZG,2019,10.5780305672025
NE.EXP.GNFS.ZS,2019,9.3908635386027
NE.IMP.GNFS.ZS,2019,19.5147134481005
NY.GDP.MKTP.CD,2020,300425609817.981
FP.CPI.TOTL.ZG,2020,9.74011619320125
NE.EXP.GNFS.ZS,2020,9.29855944234725
NE.IMP.GNFS.ZS,2020,17.4177212905341
NY.GDP.MKTP.CD,2021,348516647445.148
FP.CPI.TOTL.ZG,2021,9.49641577285205
NE.EXP.GNFS.ZS,2021,9.05159988878188
NE.IMP.GNFS.ZS,2021,17.9788205237729
NY.GDP.MKTP.CD,2022,374890295666.694
FP.CPI.TOTL.ZG,2022,19.8738599646655
NE.EXP.GNFS.ZS,2022,10.5405902721041
NE.IMP.GNFS.ZS,2022,22.4907632059279
NY.GDP.MKTP.CD,2023,336686348609.266
FP.CPI.TOTL.ZG,2023,30.7681280657005
NE.EXP.GNFS.ZS,2023,10.4939587511564
NE.IMP.GNFS.ZS,2023,17.9737337958273
NY.GDP.MKTP.CD,2024,371570000121.266
FP.CPI.TOTL.ZG,2024,12.6325318530452
NE.EXP.GNFS.ZS,2024,10.3904527903644
NE.IMP.GNFS.ZS,2024,17.1880155617051
