indicator_code,year,value
SE.PRM.ENRR,2001,62.63623046875
SE.PRM.ENRR,2002,62.9242095947266
SE.PRM.ENRR,2003,64.7272720336914
SE.SEC.ENRR,2003,19.8385200500488
SE.PRM.ENRR,2004,68.6156463623047
SE.SEC.ENRR,2004,21.7634296417236
SE.ADT.LITR.FE.ZS,2005,35.3699989318848
SE.ADT.LITR.MA.ZS,2005,64.0599975585938
SE.PRM.ENRR,2005,71.9533462524414
SE.SEC.ENRR,2005,22.6038208007812
SE.ADT.LITR.FE.ZS,2006,39.6100006103516
SE.ADT.LITR.MA.ZS,2006,67.6500015258789
SE.PRM.ENRR,2006,68.5336532592773
SE.SEC.ENRR,2006,27.2463207244873
SE.ADT.LITR.FE.ZS,2007,38.4599990844727
SE.ADT.LITR.MA.ZS,2007,65.0
SE.PRM.ENRR,2007,72.8158721923828
SE.SEC.ENRR,2007,29.0634307861328
SE.ADT.LITR.FE.ZS,2008,40.0800018310547
SE.ADT.LITR.MA.ZS,2008,68.870002746582
SE.PRM.ENRR,2008,72.6429901123047
SE.SEC.ENRR,2008,29.1768093109131
SE.ADT.LITR.FE.ZS,2009,40.310001373291
SE.ADT.LITR.MA.ZS,2009,68.629997253418
SE.PRM.ENRR,2009,72.9343795776367
SE.SEC.ENRR,2009,29.0589694976807
SE.ADT.LITR.FE.ZS,2010,41.0200004577637
SE.ADT.LITR.MA.ZS,2010,68.9000015258789
SE.PRM.ENRR,2010,73.6427366739346
SE.SEC.ENRR,2010,29.2962900661933
SE.ADT.LITR.FE.ZS,2011,41.9799995422363
SE.ADT.LITR.MA.ZS,2011,66.9899978637695
SE.PRM.ENRR,2011,70.4406693319938
SE.SEC.ENRR,2011,29.7271460529531
SE.ADT.LITR.FE.ZS,2012,43.0699996948242
SE.ADT.LITR.MA.ZS,2012,69.8600006103516
SE.PRM.ENRR,2012,69.90386379122
SE.SEC.ENRR,2012,30.6300201416016
SE.ADT.LITR.FE.ZS,2013,41.9700012207031
SE.ADT.LITR.MA.ZS,2013,68.629997253418
SE.PRM.ENRR,2013,68.8875716330274
SE.SEC.ENRR,2013,31.544819132504
SE.ADT.LITR.FE.ZS,2014,44.2799987792969
SE.ADT.LITR.MA.ZS,2014,69.0699996948242
SE.PRM.ENRR,2014,72.1897974318755
SE.SEC.ENRR,2014,32.6573427323505
SE.PRM.ENRR,2015,71.7399191116414
SE.SEC.ENRR,2015,34.6741466548496
SE.PRM.ENRR,2016,75.7336415786478
SE.SEC.ENRR,2016,35.8643246680809
SE.ADT.LITR.FE.ZS,2017,46.4700012207031
SE.ADT.LITR.MA.ZS,2017,71.120002746582
SE.PRM.ENRR,2017,74.497149935232
SE.SEC.ENRR,2017,35.3224248744451
SE.ADT.LITR.FE.ZS,2018,45.4000015258789
SE.ADT.LITR.MA.ZS,2018,69.2799987792969
SE.PRM.ENRR,2018,77.3862722679522
SE.SEC.ENRR,2018,37.1466063259079
SE.ADT.LITR.FE.ZS,2019,46.4900016784668
SE.ADT.LITR.MA.ZS,2019,69.2900009155273
SE.PRM.ENRR,2019,78.702552622727
SE.SEC.ENRR,2019,38.7511552822907
SE.ADT.LITR.FE.ZS,2021,48.5200004577637
SE.ADT.LITR.MA.ZS,2021,69.1399993896484
SE.PRM.ENRR,2021,80.3165790075685
SE.SEC.ENRR,2021,40.2578898404389
SE.PRM.ENRR,2022,78.9400248844352
SE.SEC.ENRR,2022,40.4177656413012
SE.PRM.ENRR,2023,81.3796346128751
SE.SEC.ENRR,2023,42.2911451386891
SE.PRM.ENRR,2024,83.726068200404
SE.SEC.ENRR,2024,48.2805022055997
