Region,year,hdi
AJK,2000,0.52
Balochistan,2000,0.399
FATA,2000,0.397
Gilgit Baltistan,2000,0.447
Islamabad (ICT),2000,0.559
KPK,2000,0.423
Punjab,2000,0.422
Sindh,2000,0.427
AJK,2001,0.528
Balochistan,2001,0.405
FATA,2001,0.402
Gilgit Baltistan,2001,0.453
Islamabad (ICT),2001,0.569
KPK,2001,0.429
Punjab,2001,0.428
Sindh,2001,0.434
AJK,2002,0.537
Balochistan,2002,0.411
FATA,2002,0.408
Gilgit Baltistan,2002,0.459
Islamabad (ICT),2002,0.578
KPK,2002,0.435
Punjab,2002,0.434
Sindh,2002,0.441
AJK,2003,0.546
Balochistan,2003,0.418
FATA,2003,0.414
Gilgit Baltistan,2003,0.467
Islamabad (ICT),2003,0.589
KPK,2003,0.443
Punjab,2003,0.442
Sindh,2003,0.45
AJK,2004,0.562
Balochistan,2004,0.431
FATA,2004,0.427
Gilgit Baltistan,2004,0.481
Islamabad (ICT),2004,0.606
KPK,2004,0.456
Punjab,2004,0.455
Sindh,2004,0.463
AJK,2005,0.573
Balochistan,2005,0.439
FATA,2005,0.435
Gilgit Baltistan,2005,0.49
Islamabad (ICT),2005,0.617
KPK,2005,0.465
Punjab,2005,0.463
Sindh,2005,0.472
AJK,2006,0.582
Balochistan,2006,0.447
FATA,2006,0.443
Gilgit Baltistan,2006,0.499
Islamabad (ICT),2006,0.627
KPK,2006,0.473
Punjab,2006,0.472
Sindh,2006,0.48
AJK,2007,0.59
Balochistan,2007,0.453
FATA,2007,0.45
Gilgit Baltistan,2007,0.507
Islamabad (ICT),2007,0.634
KPK,2007,0.48
Punjab,2007,0.479
Sindh,2007,0.485
AJK,2008,0.585
Balochistan,2008,0.448
FATA,2008,0.447
Gilgit Baltistan,2008,0.503
Islamabad (ICT),2008,0.641
KPK,2008,0.481
Punjab,2008,0.484
Sindh,2008,0.487
AJK,2009,0.582
Balochistan,2009,0.443
FATA,2009,0.445
Gilgit Baltistan,2009,0.501
Islamabad (ICT),2009,0.65
KPK,2009,0.483
Punjab,2009,0.49
Sindh,2009,0.49
AJK,2010,0.581
Balochistan,2010,0.439
FATA,2010,0.443
Gilgit Baltistan,2010,0.499
Islamabad (ICT),2010,0.66
KPK,2010,0.486
Punjab,2010,0.497
Sindh,2010,0.494
AJK,2011,0.58
Balochistan,2011,0.436
FATA,2011,0.442
Gilgit Baltistan,2011,0.498
Islamabad (ICT),2011,0.67
KPK,2011,0.489
Punjab,2011,0.505
Sindh,2011,0.5
AJK,2012,0.58
Balochistan,2012,0.434
FATA,2012,0.442
Gilgit Baltistan,2012,0.498
Islamabad (ICT),2012,0.681
KPK,2012,0.494
Punjab,2012,0.514
Sindh,2012,0.505
AJK,2013,0.58
Balochistan,2013,0.437
FATA,2013,0.441
Gilgit Baltistan,2013,0.509
Islamabad (ICT),2013,0.676
KPK,2013,0.495
Punjab,2013,0.518
Sindh,2013,0.506
AJK,2014,0.585
Balochistan,2014,0.445
FATA,2014,0.446
Gilgit Baltistan,2014,0.526
Islamabad (ICT),2014,0.677
KPK,2014,0.501
Punjab,2014,0.528
Sindh,2014,0.511
AJK,2015,0.586
Balochistan,2015,0.449
FATA,2015,0.447
Gilgit Baltistan,2015,0.539
Islamabad (ICT),2015,0.673
KPK,2015,0.504
Punjab,2015,0.534
Sindh,2015,0.513
AJK,2016,0.59
Balochistan,2016,0.456
FATA,2016,0.451
Gilgit Baltistan,2016,0.554
Islamabad (ICT),2016,0.671
KPK,2016,0.509
Punjab,2016,0.541
Sindh,2016,0.517
AJK,2017,0.587
Balochistan,2017,0.457
FATA,2017,0.449
Gilgit Baltistan,2017,0.562
Islamabad (ICT),2017,0.663
KPK,2017,0.508
Punjab,2017,0.543
Sindh,2017,0.515
AJK,2018,0.583
Balochistan,2018,0.457
FATA,2018,0.448
Gilgit Baltistan,2018,0.571
Islamabad (ICT),2018,0.653
KPK,2018,0.507
Punjab,2018,0.544
Sindh,2018,0.513
AJK,2019,0.585
Balochistan,2019,0.459
FATA,2019,0.451
Gilgit Baltistan,2019,0.574
Islamabad (ICT),2019,0.654
KPK,2019,0.51
Punjab,2019,0.546
Sindh,2019,0.514
AJK,2020,0.581
Balochistan,2020,0.456
FATA,2020,0.449
Gilgit Baltistan,2020,0.571
Islamabad (ICT),2020,0.65
KPK,2020,0.507
Punjab,2020,0.542
Sindh,2020,0.51
AJK,2021,0.582
Balochistan,2021,0.457
FATA,2021,0.45
Gilgit Baltistan,2021,0.572
Islamabad (ICT),2021,0.65
KPK,2021,0.508
Punjab,2021,0.543
Sindh,2021,0.511
AJK,2022,0.591
Balochistan,2022,0.464
FATA,2022,0.456
Gilgit Baltistan,2022,0.58
Islamabad (ICT),2022,0.659
KPK,2022,0.515
Punjab,2022,0.55
Sindh,2022,0.518
AJK,2023,0.59
Balochistan,2023,0.464
FATA,2023,0.456
Gilgit Baltistan,2023,0.58
Islamabad (ICT),2023,0.659
KPK,2023,0.515
Punjab,2023,0.55
Sindh,2023,0.518
