indicator_code,year,value
SP.DYN.LE00.IN,2001,62.241
SP.DYN.IMRT.IN,2001,86.6
SH.MED.BEDS.ZS,2001,0.5
SN.ITK.DEFC.ZS,2001,20.4
SP.DYN.LE00.IN,2002,62.556
SP.DYN.IMRT.IN,2002,84.7
SH.MED.BEDS.ZS,2002,0.49
SN.ITK.DEFC.ZS,2002,21.0
SP.DYN.LE00.IN,2003,62.834
SP.DYN.IMRT.IN,2003,83.0
SH.MED.BEDS.ZS,2003,0.48
SN.ITK.DEFC.ZS,2003,20.2
SP.DYN.LE00.IN,2004,63.097
SP.DYN.IMRT.IN,2004,81.4
SH.MED.BEDS.ZS,2004,0.48
SN.ITK.DEFC.ZS,2004,18.3
SP.DYN.LE00.IN,2005,62.416
SP.DYN.IMRT.IN,2005,80.0
SH.MED.BEDS.ZS,2005,0.47
SN.ITK.DEFC.ZS,2005,16.9
SP.DYN.LE00.IN,2006,63.624
SP.DYN.IMRT.IN,2006,78.6
SH.MED.BEDS.ZS,2006,0.46
SN.ITK.DEFC.ZS,2006,15.7
SP.DYN.LE00.IN,2007,63.807
SP.DYN.IMRT.IN,2007,77.3
SH.MED.BEDS.ZS,2007,0.46
SN.ITK.DEFC.ZS,2007,15.1
SP.DYN.LE00.IN,2008,64.002
SP.DYN.IMRT.IN,2008,75.9
SH.MED.BEDS.ZS,2008,0.44
SN.ITK.DEFC.ZS,2008,15.1
SP.DYN.LE00.IN,2009,64.206
SP.DYN.IMRT.IN,2009,74.4
SH.MED.BEDS.ZS,2009,0.43
SN.ITK.DEFC.ZS,2009,15.4
SP.DYN.LE00.IN,2010,64.378
SP.DYN.IMRT.IN,2010,72.8
SH.MED.BEDS.ZS,2010,0.42
SN.ITK.DEFC.ZS,2010,15.5
SP.DYN.LE00.IN,2011,64.659
SP.DYN.IMRT.IN,2011,71.1
SH.MED.BEDS.ZS,2011,0.43
SN.ITK.DEFC.ZS,2011,15.4
SP.DYN.LE00.IN,2012,64.883
SP.DYN.IMRT.IN,2012,69.3
SH.MED.BEDS.ZS,2012,0.45
SN.ITK.DEFC.ZS,2012,15.0
SP.DYN.LE00.IN,2013,65.129
SP.DYN.IMRT.IN,2013,67.4
SH.MED.BEDS.ZS,2013,0.47
SN.ITK.DEFC.ZS,2013,14.7
SP.DYN.LE00.IN,2014,65.374
SP.DYN.IMRT.IN,2014,65.5
SH.MED.BEDS.ZS,2014,0.47
SN.ITK.DEFC.ZS,2014,14.2
SP.DYN.LE00.IN,2015,65.641
SP.DYN.IMRT.IN,2015,63.6
SH.MED.BEDS.ZS,2015,0.46
SN.ITK.DEFC.ZS,2015,13.3
SP.DYN.LE00.IN,2016,65.943
SP.DYN.IMRT.IN,2016,61.7
SH.MED.BEDS.ZS,2016,0.49
SN.ITK.DEFC.ZS,2016,11.5
SP.DYN.LE00.IN,2017,66.223
SP.DYN.IMRT.IN,2017,59.8
SH.MED.BEDS.ZS,2017,0.5
SN.ITK.DEFC.ZS,2017,11.7
SP.DYN.LE00.IN,2018,66.481
SP.DYN.IMRT.IN,2018,58.1
SH.MED.BEDS.ZS,2018,0.5
SN.ITK.DEFC.ZS,2018,10.9
SP.DYN.LE00.IN,2019,66.729
SP.DYN.IMRT.IN,2019,56.3
SH.MED.BEDS.ZS,2019,0.5
SN.ITK.DEFC.ZS,2019,12.9
SP.DYN.LE00.IN,2020,65.701
SP.DYN.IMRT.IN,2020,54.6
SH.MED.BEDS.ZS,2020,0.63
SN.ITK.DEFC.ZS,2020,13.4
SP.DYN.LE00.IN,2021,65.773
SP.DYN.IMRT.IN,2021,53.0
SN.ITK.DEFC.ZS,2021,16.4
SP.DYN.LE00.IN,2022,67.417
SP.DYN.IMRT.IN,2022,51.3
SN.ITK.DEFC.ZS,2022,16.7
SP.DYN.LE00.IN,2023,67.649
SP.DYN.IMRT.IN,2023,49.7
SN.ITK.DEFC.ZS,2023,16.5
SP.DYN.LE00.IN,2024,67.799
SP.DYN.IMRT.IN,2024,48.2
