indicator_code,year,value
SP.POP.TOTL,2001,159270907.0
SP.URB.TOTL.IN.ZS,2001,33.1988471664032
SP.RUR.TOTL.ZS,2001,66.8011528335968
SP.POP.TOTL,2002,163222549.0
SP.URB.TOTL.IN.ZS,2002,33.3857078542752
SP.RUR.TOTL.ZS,2002,66.6142921457248
SP.POP.TOTL,2003,167110248.0
SP.URB.TOTL.IN.ZS,2003,33.5669209665019
SP.RUR.TOTL.ZS,2003,66.4330790334981
SP.POP.TOTL,2004,171286000.0
SP.URB.TOTL.IN.ZS,2004,33.7441369568158
SP.RUR.TOTL.ZS,2004,66.2558630431842
SP.POP.TOTL,2005,175453212.0
SP.URB.TOTL.IN.ZS,2005,33.9190062789495
SP.RUR.TOTL.ZS,2005,66.0809937210505
SP.POP.TOTL,2006,179682690.0
SP.URB.TOTL.IN.ZS,2006,34.0931793866356
SP.RUR.TOTL.ZS,2006,65.9068206133644
SP.POP.TOTL,2007,184493231.0
SP.URB.TOTL.IN.ZS,2007,34.2683067336065
SP.RUR.TOTL.ZS,2007,65.7316932663935
SP.POP.TOTL,2008,189499113.0
SP.URB.TOTL.IN.ZS,2008,34.4460387735948
SP.RUR.TOTL.ZS,2008,65.5539612264052
SP.POP.TOTL,2009,194376534.0
SP.URB.TOTL.IN.ZS,2009,34.6280259603331
SP.RUR.TOTL.ZS,2009,65.3719740396669
SP.POP.TOTL,2010,199239047.0
SP.URB.TOTL.IN.ZS,2010,34.8159187475539
SP.RUR.TOTL.ZS,2010,65.1840812524461
SP.POP.TOTL,2011,203746065.0
SP.URB.TOTL.IN.ZS,2011,35.0113675889897
SP.RUR.TOTL.ZS,2011,64.9886324110103
SP.POP.TOTL,2012,207667125.0
SP.URB.TOTL.IN.ZS,2012,35.2160229383731
SP.RUR.TOTL.ZS,2012,64.7839770616269
SP.POP.TOTL,2013,211073978.0
SP.URB.TOTL.IN.ZS,2013,35.4315352494366
SP.RUR.TOTL.ZS,2013,64.5684647505634
SP.POP.TOTL,2014,214264647.0
SP.URB.TOTL.IN.ZS,2014,35.6595549759128
SP.RUR.TOTL.ZS,2014,64.3404450240872
SP.POP.TOTL,2015,217290883.0
SP.URB.TOTL.IN.ZS,2015,35.9017325715342
SP.RUR.TOTL.ZS,2015,64.0982674284658
SP.POP.TOTL,2016,220138869.0
SP.URB.TOTL.IN.ZS,2016,36.1597184900333
SP.RUR.TOTL.ZS,2016,63.8402815099667
SP.POP.TOTL,2017,223273967.0
SP.URB.TOTL.IN.ZS,2017,36.4351548223399
SP.RUR.TOTL.ZS,2017,63.5648451776601
SP.POP.TOTL,2018,226928892.0
SP.URB.TOTL.IN.ZS,2018,36.7478511550359
SP.RUR.TOTL.ZS,2018,63.2521488449641
SP.POP.TOTL,2019,230800899.0
SP.URB.TOTL.IN.ZS,2019,37.1091631735769
SP.RUR.TOTL.ZS,2019,62.8908368264231
SP.POP.TOTL,2020,235001746.0
SP.URB.TOTL.IN.ZS,2020,37.5080192948099
SP.RUR.TOTL.ZS,2020,62.4919807051901
SP.POP.TOTL,2021,239477801.0
SP.URB.TOTL.IN.ZS,2021,37.9333395514173
SP.RUR.TOTL.ZS,2021,62.0666604485827
SP.POP.TOTL,2022,243700667.0
SP.URB.TOTL.IN.ZS,2022,38.3740439760816
SP.RUR.TOTL.ZS,2022,61.6259560239184
SP.POP.TOTL,2023,247504495.0
SP.URB.TOTL.IN.ZS,2023,38.8191861872791
SP.RUR.TOTL.ZS,2023,61.1808138127209
SP.POP.TOTL,2024,251269164.0
SP.URB.TOTL.IN.ZS,2024,39.1734368360905
SP.RUR.TOTL.ZS,2024,60.8265631639095
